0 1 12 13 + 11
0 1 12 13 + 14
0 1 12 13 + 15
0 4 12 13 + 1
0 4 12 13 + 2
0 4 12 13 + 3
0 4 12 13 + 5
0 4 12 13 + 6
0 4 12 13 + 7
0 4 12 13 + 8
0 4 12 13 + 9
0 4 12 13 + 10
0 4 12 13 + 11
0 4 12 13 + 14
0 4 12 13 + 15
4 5 12 13 + 0
4 5 12 13 + 1
4 5 12 13 + 2
4 5 12 13 + 3
4 5 12 13 + 6
4 5 12 13 + 7
4 5 12 13 + 8
4 5 12 13 + 9
4 5 12 13 + 10
4 5 12 13 + 11
4 5 12 13 + 14
4 5 12 13 + 15
0 8 12 13 + 1
0 8 12 13 + 2
0 8 12 13 + 3
0 8 12 13 + 4
0 8 12 13 + 5
0 8 12 13 + 6
0 8 12 13 + 7
0 8 12 13 + 9
0 8 12 13 + 10
0 8 12 13 + 11
0 8 12 13 + 14
0 8 12 13 + 15
4 8 12 13 + 0
4 8 12 13 + 1
4 8 12 13 + 2
4 8 12 13 + 3
4 8 12 13 + 5
4 8 12 13 + 6
4 8 12 13 + 7
4 8 12 13 + 9
4 8 12 13 + 10
4 8 12 13 + 11
4 8 12 13 + 14
4 8 12 13 + 15
5 9 12 13 + 0
5 9 12 13 + 1
5 9 12 13 + 2
5 9 12 13 + 3
5 9 12 13 + 4
5 9 12 13 + 6
5 9 12 13 + 7
5 9 12 13 + 8
5 9 12 13 + 10
5 9 12 13 + 11
5 9 12 13 + 14
5 9 12 13 + 15
8 9 12 13 + 0
8 9 12 13 + 1
8 9 12 13 + 2
8 9 12 13 + 3
8 9 12 13 + 4
8 9 12 13 + 5
8 9 12 13 + 6
8 9 12 13 + 7
8 9 12 13 + 10
8 9 12 13 + 11
8 9 12 13 + 14
8 9 12 13 + 15
2 6 10 14 + 0
2 6 10 14 + 1
2 6 10 14 + 3
2 6 10 14 + 4
2 6 10 14 + 5
2 6 10 14 + 7
2 6 10 14 + 8
2 6 10 14 + 9
2 6 10 14 + 11
2 6 10 14 + 12
2 6 10 14 + 13
2 6 10 14 + 15
4 8 12 14 + 0
4 8 12 14 + 1
4 8 12 14 + 2
4 8 12 14 + 3
4 8 12 14 + 5
4 8 12 14 + 6
4 8 12 14 + 7
4 8 12 14 + 9
4 8 12 14 + 10
4 8 12 14 + 11
4 8 12 14 + 13
4 8 12 14 + 15
6 10 12 14 + 0
6 10 12 14 + 1
6 10 12 14 + 2
6 10 12 14 + 3
6 10 12 14 + 4
6 10 12 14 + 5
6 10 12 14 + 7
6 10 12 14 + 8
6 10 12 14 + 9
6 10 12 14 + 11
6 10 12 14 + 13
6 10 12 14 + 15
8 10 12 14 + 0
8 10 12 14 + 1
8 10 12 14 + 2
8 10 12 14 + 3
8 10 12 14 + 4
8 10 12 14 + 5
8 10 12 14 + 6
8 10 12 14 + 7
8 10 12 14 + 9
8 10 12 14 + 11
8 10 12 14 + 13
8 10 12 14 + 15
5 9 13 14 + 0
5 9 13 14 + 1
5 9 13 14 + 2
5 9 13 14 + 3
5 9 13 14 + 4
5 9 13 14 + 6
5 9 13 14 + 7
5 9 13 14 + 8
5 9 13 14 + 10
5 9 13 14 + 11
5 9 13 14 + 12
5 9 13 14 + 15
6 10 13 14 + 0
6 10 13 14 + 1
6 10 13 14 + 2
6 10 13 14 + 3
6 10 13 14 + 4
6 10 13 14 + 5
6 10 13 14 + 7
6 10 13 14 + 8
6 10 13 14 + 9
6 10 13 14 + 11
6 10 13 14 + 12
6 10 13 14 + 15
9 10 13 14 + 0
9 10 13 14 + 1
9 10 13 14 + 2
9 10 13 14 + 3
9 10 13 14 + 4
9 10 13 14 + 5
9 10 13 14 + 6
9 10 13 14 + 7
9 10 13 14 + 8
9 10 13 14 + 11
9 10 13 14 + 12
9 10 13 14 + 15
0 12 13 14 + 1
0 12 13 14 + 2
0 12 13 14 + 3
0 12 13 14 + 4
0 12 13 14 + 5
0 12 13 14 + 6
0 12 13 14 + 7
0 12 13 14 + 8
0 12 13 14 + 9
0 12 13 14 + 10
0 12 13 14 + 11
0 12 13 14 + 15
4 12 13 14 + 0
4 12 13 14 + 1
4 12 13 14 + 2
4 12 13 14 + 3
4 12 13 14 + 5
4 12 13 14 + 6
4 12 13 14 + 7
4 12 13 14 + 8
4 12 13 14 + 9
4 12 13 14 + 10
4 12 13 14 + 11
4 12 13 14 + 15
8 12 13 14 + 0
8 12 13 14 + 1
8 12 13 14 + 2
8 12 13 14 + 3
8 12 13 14 + 4
8 12 13 14 + 5
8 12 13 14 + 6
8 12 13 14 + 7
8 12 13 14 + 9
8 12 13 14 + 10
8 12 13 14 + 11
8 12 13 14 + 15
9 12 13 14 + 0
9 12 13 14 + 1
9 12 13 14 + 2
9 12 13 14 + 3
9 12 13 14 + 4
9 12 13 14 + 5
9 12 13 14 + 6
9 12 13 14 + 7
9 12 13 14 + 8
9 12 13 14 + 10
9 12 13 14 + 11
9 12 13 14 + 15
10 12 13 14 + 0
10 12 13 14 + 1
10 12 13 14 + 2
10 12 13 14 + 3
10 12 13 14 + 4
10 12 13 14 + 5
10 12 13 14 + 6
10 12 13 14 + 7
10 12 13 14 + 8
10 12 13 14 + 9
10 12 13 14 + 11
10 12 13 14 + 15
1 2 3 15 + 0
1 2 3 15 + 4
1 2 3 15 + 5
1 2 3 15 + 6
1 2 3 15 + 7
1 2 3 15 + 8
1 2 3 15 + 9
1 2 3 15 + 10
1 2 3 15 + 11
1 2 3 15 + 12
1 2 3 15 + 13
1 2 3 15 + 14
2 3 7 15 + 0
2 3 7 15 + 1
2 3 7 15 + 4
2 3 7 15 + 5
2 3 7 15 + 6
2 3 7 15 + 8
2 3 7 15 + 9
2 3 7 15 + 10
2 3 7 15 + 11
2 3 7 15 + 12
2 3 7 15 + 13
2 3 7 15 + 14
3 6 7 15 + 0
3 6 7 15 + 1
3 6 7 15 + 2
3 6 7 15 + 4
3 6 7 15 + 5
3 6 7 15 + 8
3 6 7 15 + 9
3 6 7 15 + 10
3 6 7 15 + 11
3 6 7 15 + 12
3 6 7 15 + 13
3 6 7 15 + 14
5 6 7 15 + 0
5 6 7 15 + 1
5 6 7 15 + 2
5 6 7 15 + 3
5 6 7 15 + 4
5 6 7 15 + 8
5 6 7 15 + 9
5 6 7 15 + 10
5 6 7 15 + 11
5 6 7 15 + 12
5 6 7 15 + 13
5 6 7 15 + 14
2 3 11 15 + 0
2 3 11 15 + 1
2 3 11 15 + 4
2 3 11 15 + 5
2 3 11 15 + 6
2 3 11 15 + 7
2 3 11 15 + 8
2 3 11 15 + 9
2 3 11 15 + 10
2 3 11 15 + 12
2 3 11 15 + 13
2 3 11 15 + 14
3 7 11 15 + 0
3 7 11 15 + 1
3 7 11 15 + 2
3 7 11 15 + 4
3 7 11 15 + 5
3 7 11 15 + 6
3 7 11 15 + 8
3 7 11 15 + 9
3 7 11 15 + 10
3 7 11 15 + 12
3 7 11 15 + 13
3 7 11 15 + 14
6 7 11 15 + 0
6 7 11 15 + 1
6 7 11 15 + 2
6 7 11 15 + 3
6 7 11 15 + 4
6 7 11 15 + 5
6 7 11 15 + 8
6 7 11 15 + 9
6 7 11 15 + 10
6 7 11 15 + 12
6 7 11 15 + 13
6 7 11 15 + 14
3 10 11 15 + 0
3 10 11 15 + 1
3 10 11 15 + 2
3 10 11 15 + 4
3 10 11 15 + 5
3 10 11 15 + 6
3 10 11 15 + 7
3 10 11 15 + 8
3 10 11 15 + 9
3 10 11 15 + 12
3 10 11 15 + 13
3 10 11 15 + 14
7 10 11 15 + 0
7 10 11 15 + 1
7 10 11 15 + 2
7 10 11 15 + 3
7 10 11 15 + 4
7 10 11 15 + 5
7 10 11 15 + 6
7 10 11 15 + 8
7 10 11 15 + 9
7 10 11 15 + 12
7 10 11 15 + 13
7 10 11 15 + 14
9 10 11 15 + 0
9 10 11 15 + 1
9 10 11 15 + 2
9 10 11 15 + 3
9 10 11 15 + 4
9 10 11 15 + 5
9 10 11 15 + 6
9 10 11 15 + 7
9 10 11 15 + 8
9 10 11 15 + 12
9 10 11 15 + 13
